file,inboundCount,inKnip,inRoutes,inAssets,score
src/components/chat/stages/RubricStage.tsx,0,false,true,false,5
src/components/chat/stages/SimplifiedLearningJourneyStage.tsx,0,false,true,false,5
src/components/chat/stages/StageClarifier.tsx,0,false,true,false,5
src/components/chat/stages/StageInitiator.tsx,0,false,true,false,5
src/components/chat/stages/StepPrompt.tsx,0,false,true,false,5
src/components/chat/stages/index.ts,0,false,true,false,5
src/components/chat/stages/shared/useMultiSelect.ts,0,false,true,false,5
src/components/competency/ALFCompetencyTracker.tsx,0,false,true,false,5
src/components/feasibility/FeasibilityPanel.tsx,0,false,true,false,5
src/components/feedback/QuickFeedback.tsx,0,false,true,false,5
src/components/hero/FeasibilityPanel.tsx,0,false,true,false,5
src/components/hero/ProcessIndicator.tsx,0,false,true,false,5
src/components/hero/StandardsCoverageMap.tsx,0,false,true,false,5
src/components/icons/ButtonIcons.jsx,0,false,true,false,5
src/components/icons/ModernIcons.tsx,0,false,true,false,5
src/components/icons/index.js,0,false,true,false,5
src/components/icons/index.jsx,0,false,true,false,5
src/components/layout/ALFProcessRibbon.tsx,0,false,true,false,5
src/components/onboarding/TourOverlay.tsx,0,false,true,false,5
src/components/onboarding/steamData.ts,0,false,true,false,5
src/components/patterns/ErrorPreventionPatterns.tsx,0,false,true,false,5
src/components/preview/BlueprintPreviewModal.tsx,0,false,true,false,5
src/components/progress/EnhancedProgressIndicator.tsx,0,false,true,false,5
src/components/progress/HeaderProgressBar.tsx,0,false,true,false,5
src/components/progress/MobileProgressIndicator.tsx,0,false,true,false,5
src/components/progress/index.ts,0,false,true,false,5
src/components/standards/StandardsCoverageMap.tsx,0,false,true,false,5
src/components/ui/AlfLogo.tsx,0,false,true,false,5
src/components/ui/BigIdeaAnimation.jsx,0,false,true,false,5
src/components/ui/Button.jsx,0,false,true,false,5
src/components/ui/Card.jsx,0,false,true,false,5
src/components/ui/ConnectionIndicator.tsx,0,false,true,false,5
src/components/ui/DeliverablesAnimation.jsx,0,false,true,false,5
src/components/ui/EnhancedButton.tsx,0,false,true,false,5
src/components/ui/EnhancedCards.jsx,0,false,true,false,5
src/components/ui/FlowChip.tsx,0,false,true,false,5
src/components/ui/GrowingLearningTree.jsx,0,false,true,false,5
src/components/ui/HeroOrbitAnimation.jsx,0,false,true,false,5
src/components/ui/IdeationAnimation.jsx,0,false,true,false,5
src/components/ui/Input.jsx,0,false,true,false,5
src/components/ui/JourneyAnimation.jsx,0,false,true,false,5
src/components/ui/KnowledgeRipples.jsx,0,false,true,false,5
src/components/ui/OptimizedIcons.tsx,0,false,true,false,5
src/components/ui/STEAMVennDiagram.jsx,0,false,true,false,5
src/components/ui/SVGSquircleIcon.tsx,0,false,true,false,5
src/components/ui/SafeBoundary.tsx,0,false,true,false,5
src/components/ui/SolarSystemAnimation.jsx,0,false,true,false,5
src/components/ui/TooltipGlossary.tsx,0,false,true,false,5
src/components/ui/TransformationAnimation.jsx,0,false,true,false,5
src/components/ui/TypewriterText.tsx,0,false,true,false,5
src/design-system/components/Button.tsx,0,false,true,false,5
src/design-system/components/CardNew.tsx,0,false,true,false,5
src/design-system/components/EducationComponents.tsx,0,false,true,false,5
src/design-system/components/EnhancedButton.tsx,0,false,true,false,5
src/design-system/components/Icon.tsx,0,false,true,false,5
src/design-system/components/IconFixed.tsx,0,false,true,false,5
src/design-system/components/Layout.tsx,0,false,true,false,5
src/design-system/components/Typography.tsx,0,false,true,false,5
src/features/chat/ButtonStateTest.tsx,0,false,true,false,5
src/features/chat/ChatLoader.tsx,0,false,true,false,5
src/features/chat/DebugPanel.tsx,0,false,true,false,5
src/features/chat/IconText.tsx,0,false,true,false,5
src/features/chat/IdeaCard.tsx,0,false,true,false,5
src/features/chat/IdeaCardsDisplay.tsx,0,false,true,false,5
src/features/chat/IdeaCardsV2.tsx,0,false,true,false,5
src/features/chat/MessageContent.tsx,0,false,true,false,5
src/features/chat/StageOverview.tsx,0,false,true,false,5
src/features/chat/TestChat.tsx,0,false,true,false,5
src/features/chat/diagnostic.js,0,false,true,false,5
src/features/chat/index.ts,0,false,true,false,5
src/features/chat/parseIdeas.ts,0,false,true,false,5
src/features/chat-mvp/ChatMVP.tsx,0,false,true,false,5
src/features/chat-mvp/components/AIStatus.tsx,0,false,true,false,5
src/features/chat-mvp/components/CoachDrawer.tsx,0,false,true,false,5
src/features/chat-mvp/components/CollapsibleProjectBrief.tsx,0,false,true,false,5
src/features/chat-mvp/components/CompactStageStepper.tsx,0,false,true,false,5
src/features/chat-mvp/components/DecisionBar.tsx,0,false,true,false,5
src/features/chat-mvp/components/DeliverablesPreviewCard.tsx,0,false,true,false,5
src/features/chat-mvp/components/FirebaseStatus.tsx,0,false,true,false,5
src/features/chat-mvp/components/GuidanceFAB.tsx,0,false,true,false,5
src/features/chat-mvp/components/JourneyBoard.tsx,0,false,true,false,5
src/features/chat-mvp/components/JourneyPreviewCard.tsx,0,false,true,false,5
src/features/chat-mvp/components/PhaseDetailExpander.tsx,0,false,true,false,5
